@relation 'TrainingData_g6-6-weka.filters.unsupervised.attribute.Remove-V-R4,14,26,35,38,53'

@attribute PIR_bathroom {off,on}
@attribute audio_livingroom {off,on}
@attribute current_PC_bedroom {off,standby,on}
@attribute current_washMachine_balcony {off,standby,on}
@attribute camera_livingroom {off,on}
@attribute class {OtherActivity,g6-6}

@data
off,off,standby,off,off,OtherActivity
off,off,standby,off,off,OtherActivity
off,off,standby,off,off,OtherActivity
off,off,standby,off,off,OtherActivity
off,off,standby,off,off,OtherActivity
off,off,standby,off,off,OtherActivity
off,off,standby,off,off,OtherActivity
off,off,standby,off,off,OtherActivity
off,off,standby,off,off,OtherActivity
off,off,standby,off,off,OtherActivity
off,off,standby,off,off,OtherActivity
off,off,standby,off,off,OtherActivity
off,off,standby,off,off,OtherActivity
off,off,standby,off,off,OtherActivity
off,off,standby,off,off,OtherActivity
off,off,standby,off,off,OtherActivity
off,off,standby,off,off,OtherActivity
off,off,standby,off,off,OtherActivity
off,off,standby,off,off,OtherActivity
off,off,standby,off,off,OtherActivity
off,off,standby,off,off,OtherActivity
off,off,standby,off,off,OtherActivity
off,off,standby,off,off,OtherActivity
off,off,standby,off,off,OtherActivity
off,off,standby,off,off,OtherActivity
off,off,standby,off,off,OtherActivity
off,off,standby,off,off,OtherActivity
off,off,standby,off,off,OtherActivity
off,off,standby,off,off,OtherActivity
off,off,standby,off,off,OtherActivity
off,off,standby,off,off,OtherActivity
off,off,standby,off,off,OtherActivity
off,off,standby,off,off,OtherActivity
off,off,standby,off,off,OtherActivity
off,off,standby,off,off,OtherActivity
off,off,standby,off,off,OtherActivity
off,off,standby,off,off,OtherActivity
off,off,standby,off,off,OtherActivity
off,off,standby,off,off,OtherActivity
off,off,standby,off,off,OtherActivity
off,off,standby,off,off,OtherActivity
off,off,standby,off,off,OtherActivity
off,off,standby,off,off,OtherActivity
off,off,standby,off,off,OtherActivity
off,off,standby,off,off,OtherActivity
off,off,standby,off,off,OtherActivity
off,off,standby,off,off,OtherActivity
off,off,standby,off,off,OtherActivity
off,off,standby,off,off,OtherActivity
off,off,standby,off,off,OtherActivity
off,off,standby,off,off,OtherActivity
off,off,standby,off,off,OtherActivity
off,off,standby,off,off,OtherActivity
off,off,standby,off,off,OtherActivity
off,off,standby,off,off,OtherActivity
off,off,standby,off,off,OtherActivity
