@relation 'TrainingData_g1_7-weka.filters.unsupervised.attribute.Remove-V-R2-3,6,8,10,17-18,20'

@attribute light_hallway {off,on}
@attribute light_bedroom {off,on}
@attribute audio_livingroom {off,on}
@attribute current_lamp_bedroom {off,standby,on}
@attribute current_TV_livingroom {off,standby,on}
@attribute camera_livingroom {off,on}
@attribute camera_bedroom {off,on}
@attribute class {OtherActivity,g1_7}

@data
on,off,on,off,on,on,off,OtherActivity
on,off,on,off,on,on,off,OtherActivity
on,off,off,off,on,on,off,OtherActivity
on,off,on,off,on,on,off,OtherActivity
on,off,on,off,on,on,off,OtherActivity
on,off,on,off,on,on,off,OtherActivity
on,off,on,off,on,on,off,OtherActivity
on,off,off,off,on,on,off,OtherActivity
on,off,on,off,on,on,off,OtherActivity
on,off,off,off,on,on,off,OtherActivity
on,off,off,off,on,on,off,OtherActivity
on,off,on,off,on,on,off,OtherActivity
on,off,on,off,on,on,off,OtherActivity
on,off,off,off,on,on,off,OtherActivity
on,off,off,off,on,on,off,OtherActivity
on,off,on,off,on,on,off,OtherActivity
on,off,off,off,on,on,off,OtherActivity
on,off,off,off,on,on,off,OtherActivity
on,off,on,off,on,on,off,OtherActivity
on,off,off,off,on,on,off,OtherActivity
on,off,off,off,on,on,off,OtherActivity
on,off,off,off,on,on,off,OtherActivity
off,off,off,on,standby,off,on,OtherActivity
off,off,off,on,standby,off,on,OtherActivity
off,off,off,on,standby,off,on,OtherActivity
off,off,off,on,standby,off,on,OtherActivity
off,off,off,on,standby,off,on,OtherActivity
off,off,off,on,standby,off,on,OtherActivity
off,off,off,on,standby,off,on,OtherActivity
off,off,off,on,standby,off,on,OtherActivity
off,off,off,on,standby,off,on,OtherActivity
off,off,off,on,standby,off,on,OtherActivity
off,off,off,on,standby,off,on,OtherActivity
off,off,off,on,standby,off,on,OtherActivity
off,off,off,on,standby,off,on,OtherActivity
off,off,off,on,standby,off,on,OtherActivity
off,off,off,on,standby,off,on,OtherActivity
off,off,off,on,standby,off,on,OtherActivity
off,off,off,on,standby,off,on,OtherActivity
off,off,off,on,standby,off,on,OtherActivity
off,off,off,on,standby,off,on,OtherActivity
off,off,off,on,standby,off,on,OtherActivity
off,off,off,on,standby,off,on,OtherActivity
off,off,off,on,standby,off,on,OtherActivity
off,off,off,on,standby,off,on,OtherActivity
off,off,off,on,standby,off,on,OtherActivity
off,off,off,on,standby,off,on,OtherActivity
off,off,off,on,standby,off,on,OtherActivity
off,off,off,on,standby,off,on,OtherActivity
off,off,off,on,standby,off,on,OtherActivity
off,off,off,on,standby,off,on,OtherActivity
off,off,off,on,standby,off,on,OtherActivity
off,off,off,on,standby,off,on,OtherActivity
off,off,off,on,standby,off,on,OtherActivity
off,off,off,on,standby,off,on,OtherActivity
off,off,off,on,standby,off,on,OtherActivity
off,off,off,on,standby,off,on,OtherActivity
off,off,off,on,standby,off,on,OtherActivity
off,off,off,on,standby,off,on,OtherActivity
off,off,off,on,standby,off,on,OtherActivity
off,off,off,on,standby,off,on,OtherActivity
off,off,off,on,standby,off,on,OtherActivity
off,off,off,on,standby,off,on,OtherActivity
off,off,off,on,standby,off,on,OtherActivity
off,off,off,on,standby,off,on,OtherActivity
off,off,off,on,standby,off,on,OtherActivity
off,off,off,on,standby,off,on,OtherActivity
off,off,off,on,standby,off,on,OtherActivity
off,off,off,on,standby,off,on,OtherActivity
off,off,off,on,standby,off,on,OtherActivity
off,off,off,on,standby,off,on,OtherActivity
off,off,off,on,standby,off,on,OtherActivity
off,off,off,on,standby,off,on,OtherActivity
off,off,off,on,standby,off,on,OtherActivity
off,off,off,on,standby,off,on,OtherActivity
off,off,off,on,standby,off,on,OtherActivity
off,off,off,on,standby,off,on,OtherActivity
off,off,off,on,standby,off,on,OtherActivity
off,off,off,on,standby,off,on,OtherActivity
off,off,off,on,standby,off,on,OtherActivity
off,off,off,on,standby,off,on,OtherActivity
