@relation hallway-weka.filters.unsupervised.attribute.ReplaceMissingValues

@attribute intensity numeric
@attribute light_hallway numeric
@attribute current_AC_livingroom numeric
@attribute current_waterHeater_balcony numeric
@attribute class {GoOut,ComeBack}

@data
3.36,2,5,5,ComeBack
2.03,0,5,5,GoOut
