@relation bedroom-weka.filters.unsupervised.attribute.ReplaceMissingValues

@attribute intensity numeric
@attribute current_lamp_bedroom numeric
@attribute current_PC_bedroom numeric
@attribute current_AC_bedroom numeric
@attribute current_monitor_bedroom numeric
@attribute class {UsingPC,Sleeping}

@data
1.73,0,0,2,0,Sleeping
1.73,0,0,2,0,UsingPC
