@relation hallway

@attribute intensity NUMERIC
@attribute light_hallway NUMERIC
@attribute current_AC_livingroom NUMERIC
@attribute current_waterHeater_balcony NUMERIC
@attribute class {GoOut,ComeBack}

@data
2.03,0,5,5,GoOut
3.36,2,5,5,ComeBack
