@relation bedroom

@attribute intensity NUMERIC
@attribute current_lamp_bedroom NUMERIC
@attribute current_PC_bedroom NUMERIC
@attribute current_AC_bedroom NUMERIC
@attribute current_monitor_bedroom NUMERIC
@attribute class {UsingPC,Sleeping}

@data
1.73,0,0,2,0,UsingPC
1.73,0,0,2,0,Sleeping
