@relation bathroom-weka.filters.unsupervised.attribute.ReplaceMissingValues

@attribute intensity numeric
@attribute light_bathroom numeric
@attribute current_exhaustFan_bathroom numeric
@attribute current_AC_livingroom numeric
@attribute current_waterHeater_balcony numeric
@attribute class {TakingBath,UsingRestroom,BrushingTooth}

@data
4.74,2,0,5,5,TakingBath
1.92,2,0,5,5,BrushingTooth
2.38,2,2,5,5,UsingRestroom
