@relation 'bedroom-weka.filters.unsupervised.attribute.AddCluster-Wweka.clusterers.SimpleKMeans -N 2 -A \"weka.core.EuclideanDistance -R first-last\" -I 500 -S 10'

@attribute intensity numeric
@attribute current_lamp_bedroom numeric
@attribute current_PC_bedroom numeric
@attribute current_AC_bedroom numeric
@attribute current_monitor_bedroom numeric
@attribute class {UsingPC,Sleeping}
@attribute cluster {cluster1,cluster2}

@data
1.73,0,0,2,0,UsingPC,cluster2
1.73,0,0,2,0,Sleeping,cluster1
