@relation 'hallway-weka.filters.unsupervised.attribute.AddCluster-Wweka.clusterers.SimpleKMeans -N 2 -A \"weka.core.EuclideanDistance -R first-last\" -I 500 -S 10'

@attribute intensity numeric
@attribute light_hallway numeric
@attribute current_AC_livingroom numeric
@attribute current_waterHeater_balcony numeric
@attribute class {GoOut,ComeBack}
@attribute cluster {cluster1,cluster2}

@data
2.03,0,5,5,GoOut,cluster2
3.36,2,5,5,ComeBack,cluster1
